name,location,type,rank,rating,feesPerYear,description,website,phone,email,established,courses
Kalaburagi Medical College 80,Kalaburagi,Medical,109,3.6,386026,"Medical college in Kalaburagi, Karnataka",https://kalaburagimedicalcollege80.edu.in,,info@kalaburagimedicalcollege80.edu.in,1987,MBBS|MD|MS|BDS
Mysuru Degree College 81,Mysuru,Degree,368,4.3,1283273,"Degree college in Mysuru, Karnataka",https://mysurudegreecollege81.edu.in,,info@mysurudegreecollege81.edu.in,2022,BA|BSc|BCom|BBA|BCA
Davangere Degree College 82,Davangere,Degree,70,4.3,640144,"Degree college in Davangere, Karnataka",https://davangeredegreecollege82.edu.in,,info@davangeredegreecollege82.edu.in,1990,BA|BSc|BCom|BBA|BCA
Chikkamagaluru Degree College 83,Chikkamagaluru,Degree,222,4.3,962389,"Degree college in Chikkamagaluru, Karnataka",https://chikkamagalurudegreecollege83.edu.in,,info@chikkamagalurudegreecollege83.edu.in,1987,BA|BSc|BCom|BBA|BCA
Chitradurga Engineering College 84,Chitradurga,Engineering,399,4.1,1440000,"Engineering college in Chitradurga, Karnataka",https://chitradurgaengineeringcollege84.edu.in,,info@chitradurgaengineeringcollege84.edu.in,2009,CSE|ECE|ME|Civil|AI|DS
Kalaburagi PU College 85,Kalaburagi,PU,190,4.1,1095874,"PU college in Kalaburagi, Karnataka",https://kalaburagipucollege85.edu.in,,info@kalaburagipucollege85.edu.in,1982,PUC Science|Commerce|Arts
Chikkamagaluru Medical College 86,Chikkamagaluru,Medical,414,3.9,1079357,"Medical college in Chikkamagaluru, Karnataka",https://chikkamagalurumedicalcollege86.edu.in,,info@chikkamagalurumedicalcollege86.edu.in,1977,MBBS|MD|MS|BDS
Mysuru Engineering College 87,Mysuru,Engineering,399,4.7,1084554,"Engineering college in Mysuru, Karnataka",https://mysuruengineeringcollege87.edu.in,,info@mysuruengineeringcollege87.edu.in,2001,CSE|ECE|ME|Civil|AI|DS
Bengaluru Urban PU College 88,Bengaluru Urban,PU,191,4.9,1008984,"PU college in Bengaluru Urban, Karnataka",https://bengaluruurbanpucollege88.edu.in,,info@bengaluruurbanpucollege88.edu.in,1964,PUC Science|Commerce|Arts
Mysuru Degree College 89,Mysuru,Degree,111,4.4,92137,"Degree college in Mysuru, Karnataka",https://mysurudegreecollege89.edu.in,,info@mysurudegreecollege89.edu.in,2011,BA|BSc|BCom|BBA|BCA
Dharwad Medical College 90,Dharwad,Medical,214,4.7,781457,"Medical college in Dharwad, Karnataka",https://dharwadmedicalcollege90.edu.in,,info@dharwadmedicalcollege90.edu.in,1982,MBBS|MD|MS|BDS
Mandya Degree College 91,Mandya,Degree,148,4.9,366589,"Degree college in Mandya, Karnataka",https://mandyadegreecollege91.edu.in,,info@mandyadegreecollege91.edu.in,1953,BA|BSc|BCom|BBA|BCA
Koppal Medical College 92,Koppal,Medical,493,4.6,1152979,"Medical college in Koppal, Karnataka",https://koppalmedicalcollege92.edu.in,,info@koppalmedicalcollege92.edu.in,1996,MBBS|MD|MS|BDS
Bengaluru Rural Medical College 93,Bengaluru Rural,Medical,482,4.2,904387,"Medical college in Bengaluru Rural, Karnataka",https://bengalurururalmedicalcollege93.edu.in,,info@bengalurururalmedicalcollege93.edu.in,1954,MBBS|MD|MS|BDS
Dharwad Medical College 94,Dharwad,Medical,331,3.9,369236,"Medical college in Dharwad, Karnataka",https://dharwadmedicalcollege94.edu.in,,info@dharwadmedicalcollege94.edu.in,1963,MBBS|MD|MS|BDS
Udupi PU College 95,Udupi,PU,296,3.9,458519,"PU college in Udupi, Karnataka",https://udupipucollege95.edu.in,,info@udupipucollege95.edu.in,1984,PUC Science|Commerce|Arts
Shivamogga Engineering College 96,Shivamogga,Engineering,379,4.5,1260658,"Engineering college in Shivamogga, Karnataka",https://shivamoggaengineeringcollege96.edu.in,,info@shivamoggaengineeringcollege96.edu.in,1986,CSE|ECE|ME|Civil|AI|DS
Ballari Medical College 97,Ballari,Medical,313,3.6,576461,"Medical college in Ballari, Karnataka",https://ballarimedicalcollege97.edu.in,,info@ballarimedicalcollege97.edu.in,1966,MBBS|MD|MS|BDS
Bengaluru Rural Medical College 98,Bengaluru Rural,Medical,273,4.4,387600,"Medical college in Bengaluru Rural, Karnataka",https://bengalurururalmedicalcollege98.edu.in,,info@bengalurururalmedicalcollege98.edu.in,1972,MBBS|MD|MS|BDS
Raichur Degree College 99,Raichur,Degree,258,3.7,725100,"Degree college in Raichur, Karnataka",https://raichurdegreecollege99.edu.in,,info@raichurdegreecollege99.edu.in,1967,BA|BSc|BCom|BBA|BCA
Davangere Degree College 100,Davangere,Degree,177,3.8,877080,"Degree college in Davangere, Karnataka",https://davangeredegreecollege100.edu.in,,info@davangeredegreecollege100.edu.in,1992,BA|BSc|BCom|BBA|BCA
Bengaluru Urban Degree College 101,Bengaluru Urban,Degree,153,4.8,567987,"Degree college in Bengaluru Urban, Karnataka",https://bengaluruurbandegreecollege101.edu.in,,info@bengaluruurbandegreecollege101.edu.in,1976,BA|BSc|BCom|BBA|BCA
Kalaburagi Degree College 102,Kalaburagi,Degree,270,4.5,487044,"Degree college in Kalaburagi, Karnataka",https://kalaburagidegreecollege102.edu.in,,info@kalaburagidegreecollege102.edu.in,1951,BA|BSc|BCom|BBA|BCA
Tumakuru Engineering College 103,Tumakuru,Engineering,134,4.8,670651,"Engineering college in Tumakuru, Karnataka",https://tumakuruengineeringcollege103.edu.in,,info@tumakuruengineeringcollege103.edu.in,2012,CSE|ECE|ME|Civil|AI|DS
Hassan Degree College 104,Hassan,Degree,466,4.7,1118843,"Degree college in Hassan, Karnataka",https://hassandegreecollege104.edu.in,,info@hassandegreecollege104.edu.in,2021,BA|BSc|BCom|BBA|BCA
Bengaluru Urban Degree College 105,Bengaluru Urban,Degree,358,4.9,187811,"Degree college in Bengaluru Urban, Karnataka",https://bengaluruurbandegreecollege105.edu.in,,info@bengaluruurbandegreecollege105.edu.in,1951,BA|BSc|BCom|BBA|BCA
Bengaluru Rural PU College 106,Bengaluru Rural,PU,449,3.8,1093947,"PU college in Bengaluru Rural, Karnataka",https://bengalurururalpucollege106.edu.in,,info@bengalurururalpucollege106.edu.in,1983,PUC Science|Commerce|Arts
Bengaluru Rural Medical College 107,Bengaluru Rural,Medical,401,4.2,1313945,"Medical college in Bengaluru Rural, Karnataka",https://bengalurururalmedicalcollege107.edu.in,,info@bengalurururalmedicalcollege107.edu.in,1957,MBBS|MD|MS|BDS
Kalaburagi Medical College 108,Kalaburagi,Medical,489,4.2,775593,"Medical college in Kalaburagi, Karnataka",https://kalaburagimedicalcollege108.edu.in,,info@kalaburagimedicalcollege108.edu.in,1969,MBBS|MD|MS|BDS
Belagavi Medical College 109,Belagavi,Medical,282,4.6,902629,"Medical college in Belagavi, Karnataka",https://belagavimedicalcollege109.edu.in,,info@belagavimedicalcollege109.edu.in,2016,MBBS|MD|MS|BDS
Koppal PU College 110,Koppal,PU,326,3.8,1111623,"PU college in Koppal, Karnataka",https://koppalpucollege110.edu.in,,info@koppalpucollege110.edu.in,1952,PUC Science|Commerce|Arts
Raichur Degree College 111,Raichur,Degree,184,4.0,585813,"Degree college in Raichur, Karnataka",https://raichurdegreecollege111.edu.in,,info@raichurdegreecollege111.edu.in,1951,BA|BSc|BCom|BBA|BCA
Belagavi Degree College 112,Belagavi,Degree,349,4.8,863578,"Degree college in Belagavi, Karnataka",https://belagavidegreecollege112.edu.in,,info@belagavidegreecollege112.edu.in,1986,BA|BSc|BCom|BBA|BCA
Ballari Medical College 113,Ballari,Medical,100,3.9,173596,"Medical college in Ballari, Karnataka",https://ballarimedicalcollege113.edu.in,,info@ballarimedicalcollege113.edu.in,2000,MBBS|MD|MS|BDS
Shivamogga Medical College 114,Shivamogga,Medical,370,3.5,1210452,"Medical college in Shivamogga, Karnataka",https://shivamoggamedicalcollege114.edu.in,,info@shivamoggamedicalcollege114.edu.in,1960,MBBS|MD|MS|BDS
Shivamogga Degree College 115,Shivamogga,Degree,422,3.8,638657,"Degree college in Shivamogga, Karnataka",https://shivamoggadegreecollege115.edu.in,,info@shivamoggadegreecollege115.edu.in,1959,BA|BSc|BCom|BBA|BCA
Dharwad PU College 116,Dharwad,PU,201,4.0,1335231,"PU college in Dharwad, Karnataka",https://dharwadpucollege116.edu.in,,info@dharwadpucollege116.edu.in,2005,PUC Science|Commerce|Arts
Dharwad Engineering College 117,Dharwad,Engineering,226,3.5,1245616,"Engineering college in Dharwad, Karnataka",https://dharwadengineeringcollege117.edu.in,,info@dharwadengineeringcollege117.edu.in,1970,CSE|ECE|ME|Civil|AI|DS
Davangere PU College 118,Davangere,PU,69,4.6,178233,"PU college in Davangere, Karnataka",https://davangerepucollege118.edu.in,,info@davangerepucollege118.edu.in,2005,PUC Science|Commerce|Arts
Kalaburagi Degree College 119,Kalaburagi,Degree,223,4.2,217364,"Degree college in Kalaburagi, Karnataka",https://kalaburagidegreecollege119.edu.in,,info@kalaburagidegreecollege119.edu.in,1997,BA|BSc|BCom|BBA|BCA
Belagavi Degree College 120,Belagavi,Degree,301,4.3,1162596,"Degree college in Belagavi, Karnataka",https://belagavidegreecollege120.edu.in,,info@belagavidegreecollege120.edu.in,1964,BA|BSc|BCom|BBA|BCA
Chikkamagaluru Medical College 121,Chikkamagaluru,Medical,273,4.1,1143766,"Medical college in Chikkamagaluru, Karnataka",https://chikkamagalurumedicalcollege121.edu.in,,info@chikkamagalurumedicalcollege121.edu.in,2007,MBBS|MD|MS|BDS
Ballari PU College 122,Ballari,PU,425,3.9,287543,"PU college in Ballari, Karnataka",https://ballaripucollege122.edu.in,,info@ballaripucollege122.edu.in,1974,PUC Science|Commerce|Arts
Tumakuru Medical College 123,Tumakuru,Medical,403,3.6,67536,"Medical college in Tumakuru, Karnataka",https://tumakurumedicalcollege123.edu.in,,info@tumakurumedicalcollege123.edu.in,1985,MBBS|MD|MS|BDS
Tumakuru Engineering College 124,Tumakuru,Engineering,437,4.0,257294,"Engineering college in Tumakuru, Karnataka",https://tumakuruengineeringcollege124.edu.in,,info@tumakuruengineeringcollege124.edu.in,1987,CSE|ECE|ME|Civil|AI|DS
