code,name,location,type,rank,rating,feesPerYear,description,courses
E028,Tontadarya College of Engineering,GADAG,Engineering,22,4.2,150000,Tontadarya College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Agriculture Engineering|Artificial Intelligence And Machine Learning|Civil Engineering|Computer Science And Design|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Mechanical Engineering
E029,Maratha Mandal Engineering College,TALUKA & DIST. BELGAUM,Engineering,23,4.2,150000,Maratha Mandal Engineering College is listed in the official KEA UGCET 2025 engineering seat matrix.,Computer Science And Engineering|Electronics And Communica Tion Engg|Mechanical Engineering|Robotics And Artificial Intelligence
E031,B V V Sangha`s Basaveshwara Engineering College,BAGALKOT,Engineering,24,4.2,150000,B V V Sangha`s Basaveshwara Engineering College is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Industrial & Production Engineering|Mechanical Engineering|Artificial Intelligence And Machine Learning|Automobile Engineering|Bio- Technology|Electronics & Computer Engineering|Information Science And Engineering
E032,R.T.E. Soceity's Rural Engineering College,GADAG,Engineering,25,4.2,150000,R.T.E. Soceity's Rural Engineering College is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Civil Engineering|Computer Science And Engineering|Electronics And Communica Tion Engg|Mechanical Engineering|Textiles Technology
E033,Sri Taralabalu Jagadguru Institute of Technology,HAVERI DISTRICT,Engineering,26,4.2,150000,Sri Taralabalu Jagadguru Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering
E034,SDM College of Engineering,DHARWAD,Engineering,27,4.2,150000,SDM College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Chemical Engineering|Civil Engineering|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering
E035,Anjuman Institute of Technology & Management,PIN,Engineering,28,4.2,150000,Anjuman Institute of Technology & Management is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Computer Science And Engineerin G(data Science)|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Mechanical Engineering|Robotics And Artificial Intelligence
E036,K L E Technological Univeristy,BELGAUM,Engineering,29,4.2,150000,K L E Technological Univeristy is listed in the official KEA UGCET 2025 engineering seat matrix.,Bio-medical Engineering|Chemical Engineering|Civil Engineering|Computer Science And Engg (artificial Intelligenc E)|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Mechanical Engineering
E037,K.L.S. Gogte Institute of Technology,BELGAUM,Engineering,30,4.2,150000,K.L.S. Gogte Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Aeronautic Al Engineering|Civil Engineering|Communica Tion Design|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Fashion Design|Industrial Design|Life Style And Accessory Design|Mechanical Engineering
E038,BLDEA's VP. Dr.P.G. Hallakatti College of Engineering & Technology,BIJAPUR,Engineering,31,4.2,150000,BLDEA's VP. Dr.P.G. Hallakatti College of Engineering & Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Computer Science And Engineerin G(data Science)|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering
E040,Hira Sugar Institute of Technology,DISTRICT: BELGAUM,Engineering,32,4.2,150000,Hira Sugar Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Mechanical Engineering
E041,P D A College of Engineering,GULBARGA,Engineering,33,4.2,150000,P D A College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Industrial & Production Engineering|Mechanical Engineering|Artificial Intelligence And Machine Learning|Ceramics & Cement Engineering|Computer Science And Design|Computer Science And Engineering|Electronics And Instrument Ation Engineering|Information Science And Engineering
E042,Khaja Bandanawaz University KBN University Street,Kalaburagi,Engineering,34,4.2,150000,Khaja Bandanawaz University KBN University Street is listed in the official KEA UGCET 2025 engineering seat matrix.,Aeronautic Al Engineering|Civil Engineering|Computer Science And Engineering|Electronics And Communica Tion Engg|Mechanical Engineering
E043,Gurunanak Dev Engineering College,BIDAR,Engineering,35,4.2,150000,Gurunanak Dev Engineering College is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Civil Engineering|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engg(inter Net Of Things & Cyber Security Including Block Chain Tech)|Computer Science And Engineering|Computer Science And Engineerin G(data Science)|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering
E044,Bheemanna Khandre Institute of Technology,DIST. BIDAR,Engineering,36,4.2,150000,Bheemanna Khandre Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Chemical Engineering|Civil Engineering|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Computer Science And Engineering (cyber Security)|Computer Science And Engineerin G(data Science)|Electronics And Communica Tion Engg|Mechanical Engineering
E045,Rao Bahadur Y.Mahabaleswarappa Engineering College,BELLARY,Engineering,37,4.2,150000,Rao Bahadur Y.Mahabaleswarappa Engineering College is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Computer Science And Engineering (cyber Security)|Computer Science And Engineerin G(data Science)|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering
E046,H K E's Society's Sir M Visvesvaraya College of Engineering,RAICHUR-584 135,Engineering,38,4.2,150000,H K E's Society's Sir M Visvesvaraya College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engineering|Electronics And Communica Tion Engg|Mechanical Engineering
E047,Malnad College of Engineering,HASSSAN,Engineering,39,4.2,150000,Malnad College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Engineering
E048,B M S College of Engineering,BANGALORE,Engineering,40,4.2,150000,B M S College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Engineering
E049,B V V Sangha`s Basaveshwara Engineering College,BAGALKOT,Engineering,41,4.2,150000,B V V Sangha`s Basaveshwara Engineering College is listed in the official KEA UGCET 2025 engineering seat matrix.,Engineering
E054,K V G College of Engineering,Sullia KURUNJIBHAG,Engineering,42,4.2,150000,K V G College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Electronics And Communica Tion Engg
E055,P A College of Engineering,BANTWAL-MANGALORE,Engineering,43,4.2,150000,P A College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Bio- Technology|Civil Engineering|Computer Science And Engg(inter Net Of Things & Cyber Security Including Block Chain Tech)|Computer Science And Engineering|Electronics And Communica Tion Engg|Mechanical Engineering
E056,The National Institute of Engineering(SOUTH,MYSORE,Engineering,44,4.2,150000,The National Institute of Engineering(SOUTH is listed in the official KEA UGCET 2025 engineering seat matrix.,Engineering
E057,JSS Science and Technology University JSS TECHNICAL INSTITUTIONS,MYSURU,Engineering,45,4.2,150000,JSS Science and Technology University JSS TECHNICAL INSTITUTIONS is listed in the official KEA UGCET 2025 engineering seat matrix.,Bio- Technology|Civil Engineering|Computer Science And Business Systems|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Computer Science And Technolog Y(exclusiv Ely For Differently Abled)|Constructi On Technology And Mgmt|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering
E058,P E S College of Engineering,Mandya(AUTONOMOUS) MANDYA: 571 401,Engineering,46,4.2,150000,P E S College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Engineering
E059,P D A College of Engineering,GULBARGA,Engineering,47,4.2,150000,P D A College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Engineering
E060,Dr. Ambedkar Institute of Technology,BANGALORE,Engineering,48,4.2,150000,Dr. Ambedkar Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Engineering
E061,University B.D.T College of Engineering,DAVENGERE,Engineering,49,4.2,150000,University B.D.T College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Electronics And Instrument Ation Engineering|Mechanical Engineering|Robotics And Artificial Intelligence
E062,Bapuji Institute of Engineering & Technology,DAVANGERE-577 004,Engineering,50,4.2,150000,Bapuji Institute of Engineering & Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Bio- Technology|Chemical Engineering|Civil Engineering|Computer Science And Business Systems|Computer Science And Design|Computer Science And Engineering|Computer Science And Engineerin G(data Science)|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering|Textiles Technology
E063,S J M Institute of Technology,CHITRADURGA,Engineering,51,4.2,150000,S J M Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Civil Engineering|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Mechanical Engineering
E064,Adhichunchanagiri Institute of Technology,CHIKMAGALUR,Engineering,52,4.2,150000,Adhichunchanagiri Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Civil Engineering|Computer Science And Engineering|Computer Science And Engineerin G(data Science)|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering|Robotics And Artificial Intelligence
E065,Jawaharlal Nehru New College of Engineering,SHIMOGA,Engineering,53,4.2,150000,Jawaharlal Nehru New College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Civil Engineering|Computer Science And Engineering|Computer Science And Engineerin G(data Science)|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Electronics And Telecommu Nication Engineering|Information Science And Engineering|Mechanical Engineering|Robotics And Artificial Intelligence
E066,University B.D.T. college of Engineering,Davangere,Engineering,54,4.2,150000,University B.D.T. college of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Electronics And Instrument Ation Engineering|Mechanical Engineering|Robotics And Artificial Intelligence
E070,Bahubali College of Engineering,SHRAVANABELAGOLA -  HASSAN,Engineering,55,4.2,150000,Bahubali College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Civil Engineering|Computer Science And Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering
E071,Vidya Vardhaka College of Engineering,MYSORE,Engineering,56,4.2,150000,Vidya Vardhaka College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Mechanical Engineering
E075,Ballari Institute of Technology & Management,ALLIPUR,Engineering,57,4.2,150000,Ballari Institute of Technology & Management is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Civil Engineering|Computer Science And Engg (artificial Intelligenc E)|Computer Science And Engineering|Computer Science And Engineerin G(data Science)|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Mechanical Engineering
E076,Proudadevaraya Institute of Technology,BELLARY DISTRICT,Engineering,58,4.2,150000,Proudadevaraya Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Mechanical Engineering
E077,Vidya Vikas Institute of Engineering & Technology,MYSORE,Engineering,59,4.2,150000,Vidya Vikas Institute of Engineering & Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Information Science And Engineering
E078,The Oxford College of Engineering,BANGALORE,Engineering,60,4.2,150000,The Oxford College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Data Science|Artificial Intelligence And Machine Learning|Bio- Technology|Civil Engineering|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering|Mechatron Ics
E079,Acharya Institute of Technology,BANGALORE URBAN,Engineering,61,4.2,150000,Acharya Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Aeronautic Al Engineering|Artificial Intelligence And Machine Learning|Bio- Technology|Civil Engineering|Computer Science And Engineering|Computer Science And Engineerin G(data Science)|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering|Mechatron Ics|Robotics And Artificial Intelligence
E081,SRI SIDDHARTHA SCHOOL OF ENGINEERING,TUMKUR,Engineering,62,4.2,150000,SRI SIDDHARTHA SCHOOL OF ENGINEERING is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Civil Engineering|Computer Science|Cyber Security|Data Sciences|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering
E082,J S S Academy of Technical Education,BANGALORE,Engineering,63,4.2,150000,J S S Academy of Technical Education is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Electronics And Communica Tion Engg|Electronics And Instrument Ation Engineering|Information Science And Engineering|Mechanical Engineering|Robotics And Automation
E083,H.K.B.K.College of Engineering,BANGALORE,Engineering,64,4.2,150000,H.K.B.K.College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Computer Science And Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering
E085,APS College of Engineering,BANGALORE URBAN,Engineering,65,4.2,150000,APS College of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Computer Science And Engineering (cyber Security)|Electronics And Communica Tion Engg|Information Science And Engineering
E086,Sri Sairam College Of Engineering,Bangalore SAI LEO NAGAR,Engineering,66,4.2,150000,Sri Sairam College Of Engineering is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Computer Science And Engg(inter Net Of Things & Cyber Security Including Block Chain Tech)|Computer Science And Engineering|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering
E087,Vivekananada Institute of Technology,BANGALORE,Engineering,67,4.2,150000,Vivekananada Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Civil Engineering|Computer Science And Engineering|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering
E090,Sri Revana Siddeswara Institute of Technology,BANGALORE NORTH,Engineering,68,4.2,150000,Sri Revana Siddeswara Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Civil Engineering|Computer Science And Engineering|Electronics And Communica Tion Engg|Mechanical Engineering
E091,K S Institute of Technology,BANGALORE - 560 062,Engineering,69,4.2,150000,K S Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Computer And Communica Tion Engineering|Computer Science And Design|Computer Science And Engg(inter Net Of Things & Cyber Security Including Block Chain Tech)|Computer Science And Engineering|Electronics And Communica Tion Engg|Mechanical Engineering
E092,Vemana Institute of Technology,BANGALORE,Engineering,70,4.2,150000,Vemana Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Machine Learning|Civil Engineering|Computer Science And Engineering|Computer Science And Engineering (cyber Security)|Computer Science And Engineerin G(data Science)|Electronics And Communica Tion Engg|Information Science And Engineering|Mechanical Engineering
E093,Basavakalyana Engineering College,DIST. BIDAR,Engineering,71,4.2,150000,Basavakalyana Engineering College is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Data Science|Civil Engineering|Computer Science|Computer Science And Engineering|Electronics & Computer Engineering|Electronics And Communica Tion Engg|Mechanical Engineering
E094,Coorg Institute of Technology,COORG,Engineering,72,4.2,150000,Coorg Institute of Technology is listed in the official KEA UGCET 2025 engineering seat matrix.,Artificial Intelligence And Data Science|Artificial Intelligence And Machine Learning|Civil Engineering|Computer Science And Engineering|Computer Science And Engineering (cyber Security)|Electronics And Communica Tion Engg|Mechanical Engineering
E095,AMC Engineering College,BANGALORE URBAN,Engineering,73,4.2,150000,AMC Engineering College is listed in the official KEA UGCET 2025 engineering seat matrix.,Aeronautic Al Engineering|Artificial Intelligence And Machine Learning|Civil Engineering|Computer Science And Engg(artifi Cial Intelligence And Machine Learning)|Computer Science And Engineering|Computer Science And Engineerin G(data Science)|Electrical & Electronics Engineering|Electronics And Communica Tion Engg|Mechanical Engineering
